injection_rate,traffic_pattern,metric,baseline,tb_tbp,proposed
0.01,bit_reverse,latency,14.8,12.3,10.6
0.03,bit_reverse,latency,18.2,14.5,11.9
0.05,bit_reverse,latency,24.7,17.8,13.7
0.07,bit_reverse,latency,38.5,24.8,16.5
0.09,bit_reverse,latency,82.3,41.2,22.1
0.11,bit_reverse,latency,178.6,78.5,31.8
0.13,bit_reverse,latency,352.8,158.7,48.3
0.15,bit_reverse,latency,598.2,287.4,71.5
0.01,bit_reverse,throughput,0.00972,0.00985,0.00994
0.03,bit_reverse,throughput,0.0286,0.0293,0.0298
0.05,bit_reverse,throughput,0.0468,0.0488,0.0495
0.07,bit_reverse,throughput,0.0631,0.0671,0.0690
0.09,bit_reverse,throughput,0.0752,0.0821,0.0876
0.11,bit_reverse,throughput,0.0821,0.0932,0.1048
0.13,bit_reverse,throughput,0.0863,0.1012,0.1182
0.15,bit_reverse,throughput,0.0887,0.1058,0.1283
0.01,bit_reverse,link_util,8.1,8.2,8.3
0.03,bit_reverse,link_util,23.8,24.4,24.8
0.05,bit_reverse,link_util,38.9,40.6,41.2
0.07,bit_reverse,link_util,52.5,55.8,57.5
0.09,bit_reverse,link_util,58.6,64.2,68.9
0.11,bit_reverse,link_util,54.3,63.8,71.2
0.13,bit_reverse,link_util,48.2,59.3,69.8
0.15,bit_reverse,link_util,42.7,53.8,67.5
0.01,transpose,latency,11.9,11.3,10.2
0.03,transpose,latency,14.1,13.2,11.6
0.05,transpose,latency,16.8,15.2,13.1
0.07,transpose,latency,21.3,18.7,15.4
0.09,transpose,latency,28.6,24.3,19.2
0.11,transpose,latency,52.8,38.7,25.6
0.13,transpose,latency,112.5,71.9,37.8
0.15,transpose,latency,224.7,138.2,58.3
0.01,transpose,throughput,0.00979,0.00984,0.00992
0.03,transpose,throughput,0.0293,0.0296,0.0298
0.05,transpose,throughput,0.0488,0.0493,0.0496
0.07,transpose,throughput,0.0676,0.0688,0.0694
0.09,transpose,throughput,0.0838,0.0869,0.0889
0.11,transpose,throughput,0.0946,0.1001,0.1076
0.13,transpose,throughput,0.1012,0.1095,0.1224
0.15,transpose,throughput,0.1051,0.1151,0.1335
0.01,transpose,link_util,8.2,8.3,8.4
0.03,transpose,link_util,24.4,24.7,25.0
0.05,transpose,link_util,40.6,41.5,41.9
0.07,transpose,link_util,56.3,57.8,58.7
0.09,transpose,link_util,65.7,68.5,71.8
0.11,transpose,link_util,68.7,70.2,73.6
0.13,transpose,link_util,64.2,68.7,72.8
0.15,transpose,link_util,58.5,64.1,70.3
0.01,uniform_random,latency,12.1,11.6,10.8
0.03,uniform_random,latency,13.9,13.2,12.1
0.05,uniform_random,latency,16.2,15.1,13.9
0.07,uniform_random,latency,19.8,18.3,16.2
0.09,uniform_random,latency,24.6,22.7,19.8
0.11,uniform_random,latency,31.2,28.5,24.6
0.13,uniform_random,latency,42.8,38.1,31.7
0.15,uniform_random,latency,68.5,56.3,44.2
0.01,uniform_random,throughput,0.00981,0.00987,0.00993
0.03,uniform_random,throughput,0.0294,0.0296,0.0298
0.05,uniform_random,throughput,0.0489,0.0493,0.0497
0.07,uniform_random,throughput,0.0681,0.0689,0.0695
0.09,uniform_random,throughput,0.0864,0.0878,0.0893
0.11,uniform_random,throughput,0.1032,0.1052,0.1081
0.13,uniform_random,throughput,0.1156,0.1183,0.1231
0.15,uniform_random,throughput,0.1221,0.1257,0.1326
0.01,uniform_random,link_util,8.2,8.3,8.4
0.03,uniform_random,link_util,24.5,24.8,25.1
0.05,uniform_random,link_util,40.7,41.4,42.1
0.07,uniform_random,link_util,56.2,58.1,59.8
0.09,uniform_random,link_util,67.3,70.5,73.2
0.11,uniform_random,link_util,71.8,75.9,78.5
0.13,uniform_random,link_util,72.3,77.2,79.8
0.15,uniform_random,link_util,68.5,74.1,77.6
